epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7787,0,115.409,0,0,0,0,0,0,123.883,0,8e-05,8e-05,8e-05
2,19.774,0,110.906,0,0,0,0,0,0,124.379,0,0.000176436,0.000176436,0.000176436
3,28.6293,0,103.672,0,0,0,0,0,0,126.198,0,0.000268912,0.000268912,0.000268912
4,37.8765,0,97.0229,0,0,0,0,0,0,126.208,0,0.000357428,0.000357428,0.000357428
5,47.3004,0,91.9962,0,0,0,0,0,0,124.87,0,0.000441984,0.000441984,0.000441984
6,56.8004,0,86.7661,0,0,0,0,0,0,123.013,0,0.00052258,0.00052258,0.00052258
7,66.5678,0,82.1101,0,0,0,0,0,0,117.803,0,0.000599216,0.000599216,0.000599216
