epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3056,0,115.409,0,0,0,0,0,0,123.883,0,8e-05,8e-05,8e-05
2,19.6153,0,110.906,0,0,0,0,0,0,124.379,0,0.000176436,0.000176436,0.000176436
3,28.2608,0,103.672,0,0,0,0,0,0,126.198,0,0.000268912,0.000268912,0.000268912
4,36.9501,0,97.0229,0,0,0,0,0,0,126.208,0,0.000357428,0.000357428,0.000357428
5,45.789,0,91.9962,0,0,0,0,0,0,124.87,0,0.000441984,0.000441984,0.000441984
6,55.1926,0,86.7661,0,0,0,0,0,0,123.013,0,0.00052258,0.00052258,0.00052258
7,64.2475,0,82.1101,0,0,0,0,0,0,117.803,0,0.000599216,0.000599216,0.000599216
8,73.4595,0,77.6339,0,0,0,0,0,0,112.911,0,0.000671892,0.000671892,0.000671892
9,82.9523,0,74.9409,0,0,0,0,0,0,104.051,0,0.000740608,0.000740608,0.000740608
10,92.4903,0,72.2504,0,0,0,0,0,0,95.231,0,0.000805364,0.000805364,0.000805364
11,101.852,0,69.5521,0,0,0,0,0,0,87.8265,0,0.00086616,0.00086616,0.00086616
12,111.267,0,68.2259,0,0,0,0,0,0,81.6355,0,0.000922996,0.000922996,0.000922996
13,120.633,0,66.0501,0,0,0,0,0,0,76.5257,0,0.000975872,0.000975872,0.000975872
14,130.086,0,64.2955,0,0,0,0,0,0,71.0562,0,0.00102479,0.00102479,0.00102479
